ID,Company Tracker,Tracker ID,Company Tracker ID,Suppliers,Tier 1 Suppliers,Indirect Suppliers,Responsible Company,Linked Grievances,Concessions (OLD),PIOConcessions,Source,Relationship,Issues,Status,Stage,Grievance Updates,Reason/Outcome,Notes,Date Filed,Attachments,Mills,Mills (Unknown),Number of Updates,Company Logo,Source for Suppliers,Tracker Link,Group Logo(s),Source Org,Refinery,Tracker Suppliers,Updated (last 90 days),Last Modified Time for Suppliers Field,Created,Last Modified,Concession update Notes,Mill IDs,Issues Combined,Old Supplier Count,Tier 1 Supplier Count,Indirect Supplier Count,Responsible Company Count,New Supplier Count,New vs Old Supplier Check,Old Concession Lat,Old Concession Lon,Update Dates,Last Modified Year,New Issue Tags
AAK 1,AAK,1,,"ASG,AAA,Wilmar",,,,,,,Enough is Enough,Indirect,Deforestation,Unresolved,Engaging,AAK 1 Meeting 2018-6,NDPE Non-Compliant,,6/1/2018,,,,1,AAK.png (https://v5.airtableusercontent.com/v3/u/47/47/1763395200000/09Nios5ShDfSRuNuZ7dNqw/1FaadseUa2c-XnufvnXpOKEYDrXsPCG5RMK1rYYnNBJxbeMWUnhMXXWjt8mU9zJXisjXG-n6jrq0UaxX57Re8yNb7L0_CWBWMAkpoZzjF4SwY6ykJ-iKxa7wYfEewvfn2uS1kpjOAzMLcuzvCFWGOA/jaioUa4x6WhUxuNJMf0SYDucyZ1gYqCElyqQ3p6G1Q0),"ASG-Wilmar,ASG-AAA,Wilmar-AAK,Austindo Nusantara Jaya (ANJ)-LDC",,"apical.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763395200000/gvtTDMC5fggLu5TM1l__xA/Ee7xiUAEHk02II9EjCq3mau9Q-zCRmbyuMbqe8wuyhjPrDoaY3IhqafUe93YX3LjcuncHQbd9cBlN2FCbD3-Q4fiye7nfTyhFHU3vTTmidXFl7eHbHe_bctoHqjB6xQ5CMl_fKmvyjvmJ3QtXnIN3g/o5wvWgwM8dcTH9xItdbLmbWklnGktMq8UAk5H2lw06Q),680-6808184_wilmar-logo-logotype-logok-bugatti-logo-pagani-logo.png (https://v5.airtableusercontent.com/v3/u/47/47/1763395200000/or9bZ6FQ-BWF3UvOGJUvEg/fm46QNsRlogSWEiRMveddlQu0zwVep-sw2VvBKv0d1HHCSPcF4WQmEJ39T-vpyKmXRtTc04QwKkPNotz70EsXPrYHyAucZwZGoh16t6iOvnQ1qmXTEFgc4VW6xZsl-8W1KjOosBumNGnbywXt9svSu8YuAAcIElla52IDYbnPFZI_xDKS2sBxiL0eQcFUcq7S6dRGpKdvCRI2f2nIKFiRQ/xMtyNKhjLdM3qRsrzbFwshUYFe7ssjg23u8jFNFgqbE)",EoF,,,,4/24/2021 4:47am,7/23/2020 4:50am,4/5/2025 2:40am,,,Deforestation,3,0,0,0,0,-3,,,6/1/2018,2025,
AAK 2,AAK,2,,Anglo Eastern Plantations (AEP),,,Anglo Eastern Plantations (AEP),,Kahayan Agro Plantation,3856,"Rapid Response 1,Rapid Response 15,Rapid Response 24,Rapid Response 25,Deforestation Case Studies",Indirect,"Deforestation,Land Dispute",Resolved,Moratorium,"AAK 2 Initial Engagement 2017-12,AAK 2 New Deforestation 2019-3,AAK 2 Publication/Policy Released 2019-12,AAK 2 New Deforestation 2020-1,AAK 2 Meeting 2025-1,AAK 2 Publication/Policy Released 2025-4,AAK 2 Status Change 2025-5",Reinstated,Tier 1 engaged. Moratorium in place,12/1/2017,,,,7,AAK.png (https://v5.airtableusercontent.com/v3/u/47/47/1763395200000/09Nios5ShDfSRuNuZ7dNqw/1FaadseUa2c-XnufvnXpOKEYDrXsPCG5RMK1rYYnNBJxbeMWUnhMXXWjt8mU9zJXisjXG-n6jrq0UaxX57Re8yNb7L0_CWBWMAkpoZzjF4SwY6ykJ-iKxa7wYfEewvfn2uS1kpjOAzMLcuzvCFWGOA/jaioUa4x6WhUxuNJMf0SYDucyZ1gYqCElyqQ3p6G1Q0),,,0-1.png (https://v5.airtableusercontent.com/v3/u/47/47/1763395200000/mzAwyRe5azKfrrBa0rlMFw/hx9SOtk8xbR3b4H07FP0PZinPqcqLz80KNrtl-eIeArTkDAtYtAb_wiiHDaEsW_wXBYOeuMwSBVaQrXe1S4MXiI1qlz_SKwkvp0XcKP-FTJAZf8Lb3NI1fwAhsaqBHm7TxDvmoeQnLARIpY8uFmu2g/UXFV_Zv9nT2iKEIY8ijZ-9Dv7n186NcQiF9QT2a7Myg),"Mighty Earth, Mighty Earth, Mighty Earth, Mighty Earth, Greenpeace",,,,7/23/2020 5:02am,7/23/2020 4:53am,6/18/2025 12:29pm,,,"Deforestation, Land Dispute",1,0,0,1,1,0,-0.96100,113.50000,"12/1/2017, 3/1/2019, 12/1/2019, 1/1/2020, 1/3/2025, 4/1/2025, 5/1/2025",2025,
AAK 3,AAK,3,,BLD,,,BLD,,,13061,Rapid Response 4,Indirect,Deforestation,Resolved,Suspended,AAK 3 Status Change 2018-5,NDPE Non-Compliant,"suspended

",5/1/2018,,,,1,AAK.png (https://v5.airtableusercontent.com/v3/u/47/47/1763395200000/09Nios5ShDfSRuNuZ7dNqw/1FaadseUa2c-XnufvnXpOKEYDrXsPCG5RMK1rYYnNBJxbeMWUnhMXXWjt8mU9zJXisjXG-n6jrq0UaxX57Re8yNb7L0_CWBWMAkpoZzjF4SwY6ykJ-iKxa7wYfEewvfn2uS1kpjOAzMLcuzvCFWGOA/jaioUa4x6WhUxuNJMf0SYDucyZ1gYqCElyqQ3p6G1Q0),BLD-AAK,,bldlogo.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1763395200000/NCi3DajiTDsMexEIpsKtDw/dvTSXq55_NJ6N3galZRjBz1hrkGWhHHnk1tmtZV2vP4aEQMVn4G3YjOhkYeoqKa9An3GF85NCCM2FIUhQuxW__Dij1gHsUKYMJTRZA7RIfXzS_EKw8hH8LAx3vMg9wXm2T3XoF1Q_BsTwS6xEsr3Tg/Lz90TXP4ggPjcTx6Hm8M2NsOT6SazlGYiGzZIyKFn6o),Mighty Earth,,,,7/23/2020 5:05am,7/23/2020 5:02am,1/18/2025 5:54am,,,Deforestation,1,0,0,1,1,0,,,5/1/2018,2025,
AAK 4,AAK,4,,Bukit Bintang Sawit (BBS),,,Bukit Bintang Sawit (BBS),,,,Enough is Enough,Indirect,Deforestation,Unresolved,Engaging,AAK 4 Initial Engagement 2018-6,NDPE Non-Compliant,,6/1/2018,,,,1,AAK.png (https://v5.airtableusercontent.com/v3/u/47/47/1763395200000/09Nios5ShDfSRuNuZ7dNqw/1FaadseUa2c-XnufvnXpOKEYDrXsPCG5RMK1rYYnNBJxbeMWUnhMXXWjt8mU9zJXisjXG-n6jrq0UaxX57Re8yNb7L0_CWBWMAkpoZzjF4SwY6ykJ-iKxa7wYfEewvfn2uS1kpjOAzMLcuzvCFWGOA/jaioUa4x6WhUxuNJMf0SYDucyZ1gYqCElyqQ3p6G1Q0),,,,EoF,,,,7/23/2020 5:07am,7/23/2020 5:02am,7/6/2024 1:17am,,,Deforestation,1,0,0,1,1,0,,,6/1/2018,2024,
AAK 5,AAK,5,AAK 5,BDA,,,BDA,,,,Leuser Watch,Indirect,Deforestation,Unresolved,Disputed w/o Evidence,"AAK 5 Initial Engagement 2019-10,AAK 5 Meeting 2020-10,AAK 5 Status Change 2025-2,AAK 5 Meeting 2025-5",Not In Supply Chain,,10/1/2019,,,,4,AAK.png (https://v5.airtableusercontent.com/v3/u/47/47/1763395200000/09Nios5ShDfSRuNuZ7dNqw/1FaadseUa2c-XnufvnXpOKEYDrXsPCG5RMK1rYYnNBJxbeMWUnhMXXWjt8mU9zJXisjXG-n6jrq0UaxX57Re8yNb7L0_CWBWMAkpoZzjF4SwY6ykJ-iKxa7wYfEewvfn2uS1kpjOAzMLcuzvCFWGOA/jaioUa4x6WhUxuNJMf0SYDucyZ1gYqCElyqQ3p6G1Q0),,,,RAN,,,,7/23/2020 5:12am,7/23/2020 5:02am,6/18/2025 12:51pm,,,Deforestation,1,0,0,1,1,0,,,"10/1/2019, 10/1/2020, 2/1/2025, 5/1/2025",2025,
AAK 6,AAK,6,,Bumitama,,,Bumitama,,,,Final Countdown : Now or Never to Reform the Palm Oil Industry,Indirect,"Deforestation,Land Grabbing",Unresolved,Engaging,AAK 6 Initial Engagement 2018-10,NDPE Non-Compliant,,10/1/2018,,,,1,AAK.png (https://v5.airtableusercontent.com/v3/u/47/47/1763395200000/09Nios5ShDfSRuNuZ7dNqw/1FaadseUa2c-XnufvnXpOKEYDrXsPCG5RMK1rYYnNBJxbeMWUnhMXXWjt8mU9zJXisjXG-n6jrq0UaxX57Re8yNb7L0_CWBWMAkpoZzjF4SwY6ykJ-iKxa7wYfEewvfn2uS1kpjOAzMLcuzvCFWGOA/jaioUa4x6WhUxuNJMf0SYDucyZ1gYqCElyqQ3p6G1Q0),,,Bumitama.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763395200000/wGiWo0ya6RRKTU6Gkx1sqw/DP5gXgm86iccxgpnbMobFXuNaTArs44AZADYC9hYxCJVclYKRoriEkmCMrxGIHcjBjyzw1sQSFezuH8aO4iHjn6NXdsUHL5jE_AqHVgsiU0r43KzFEi1KDpysJNDd2q_kw0yI9AFz8he2TeMITJQyg/aFq6-0I8QU47ohwlscRLdQzHud5tmnIVYtNwUZNeXpk),Greenpeace ,,,,9/8/2020 4:20am,7/23/2020 5:03am,4/8/2025 12:39am,,,"Deforestation, Land Grabbing",1,0,0,1,1,0,,,10/1/2018,2025,
AAK 7,AAK,7,,IBRIS PALM,,,IBRIS PALM,,Delima Makmur,"6005,6171,7457",RAN- Leuser Ecosystem Updates 2018,Indirect,Land Dispute,Unresolved,Engaging,AAK 7 Initial Engagement 2019-10,NDPE Non-Compliant,,10/1/2019,,PO1000004155,,1,AAK.png (https://v5.airtableusercontent.com/v3/u/47/47/1763395200000/09Nios5ShDfSRuNuZ7dNqw/1FaadseUa2c-XnufvnXpOKEYDrXsPCG5RMK1rYYnNBJxbeMWUnhMXXWjt8mU9zJXisjXG-n6jrq0UaxX57Re8yNb7L0_CWBWMAkpoZzjF4SwY6ykJ-iKxa7wYfEewvfn2uS1kpjOAzMLcuzvCFWGOA/jaioUa4x6WhUxuNJMf0SYDucyZ1gYqCElyqQ3p6G1Q0),,,,,,,,7/23/2020 5:26am,7/23/2020 5:03am,7/6/2024 1:17am,,PO1000004155,Land Dispute,1,0,0,1,1,0,2.19138,98.11075,10/1/2019,2024,
AAK 8,AAK,8,,HPI-AGRO (DJARUM),,,HPI-AGRO (DJARUM),,,,Deforestation Case Studies,Indirect,Deforestation,Resolved,Moratorium,AAK 8 Initial Engagement 2017-12,NDPE Non-Compliant,Tier 1 engaged. Moratorium in place,12/1/2017,,,,1,AAK.png (https://v5.airtableusercontent.com/v3/u/47/47/1763395200000/09Nios5ShDfSRuNuZ7dNqw/1FaadseUa2c-XnufvnXpOKEYDrXsPCG5RMK1rYYnNBJxbeMWUnhMXXWjt8mU9zJXisjXG-n6jrq0UaxX57Re8yNb7L0_CWBWMAkpoZzjF4SwY6ykJ-iKxa7wYfEewvfn2uS1kpjOAzMLcuzvCFWGOA/jaioUa4x6WhUxuNJMf0SYDucyZ1gYqCElyqQ3p6G1Q0),,,HPI.png (https://v5.airtableusercontent.com/v3/u/47/47/1763395200000/HUvzGfs4yHcrG-7MTXACJA/3i-zREX-6hKVjFm7KzAkhAVvD7wxeUHdcg1bkjcH-F0m7cfnaGFPdoLLOi4FDgP7c_7cMSAegzPGBjDRqlVn-UouAkI0XNP-JLKnbsXcCwsm-RPmaZHCOozsKqAcWSaQ4a0mB7WYaWcLwCrcgBqkvw/CH7r3Jhh_m1FddCISKZe60HqnSgNYM8DDoXiOwTac8c),Greenpeace,,,,7/23/2020 5:27am,7/23/2020 5:03am,7/6/2024 1:17am,,,Deforestation,1,0,0,1,1,0,,,12/1/2017,2024,
AAK 9,AAK,9,,Eagle High Plantations (EHPT),,,Eagle High Plantations (EHPT),,,,Deforestation Case Studies,Indirect,Deforestation,Resolved,Moratorium,AAK 9 Initial Engagement 2017-12,NDPE Non-Compliant,Tier 1 engaged. Moratorium in place,12/1/2017,,,,1,AAK.png (https://v5.airtableusercontent.com/v3/u/47/47/1763395200000/09Nios5ShDfSRuNuZ7dNqw/1FaadseUa2c-XnufvnXpOKEYDrXsPCG5RMK1rYYnNBJxbeMWUnhMXXWjt8mU9zJXisjXG-n6jrq0UaxX57Re8yNb7L0_CWBWMAkpoZzjF4SwY6ykJ-iKxa7wYfEewvfn2uS1kpjOAzMLcuzvCFWGOA/jaioUa4x6WhUxuNJMf0SYDucyZ1gYqCElyqQ3p6G1Q0),,,ehpt.png (https://v5.airtableusercontent.com/v3/u/47/47/1763395200000/MOhS-8XNe-wbFHCgmoNe7w/55J_5iD-4ouKulfIIlM5sUcwdNDDcOVPEwQPA3WCFoTmEcOrZsuquMmfHK4-iTw-9A0l_G02ZQCwAHMee3hKYoAmLoGkw5PDyF28Fntqam7MstOYXXqHj4U4EO9HKn_pyXGWsZFKm7hQK3rrcFbw9g/bkRDQHQVKpjIKlvmZYDuAriOpK6zEaUQGXDBH0lAtcE),Greenpeace,,,,7/23/2020 5:28am,7/23/2020 5:03am,7/6/2024 1:17am,,,Deforestation,1,0,0,1,1,0,,,12/1/2017,2024,
AAK 10,AAK,10,,ES,,,ES,,,,Leuser Watch ,Indirect,Deforestation,Unresolved,Engaging,AAK 10 Initial Engagement 2017-7,NDPE Non-Compliant,,7/1/2017,,,,1,AAK.png (https://v5.airtableusercontent.com/v3/u/47/47/1763395200000/09Nios5ShDfSRuNuZ7dNqw/1FaadseUa2c-XnufvnXpOKEYDrXsPCG5RMK1rYYnNBJxbeMWUnhMXXWjt8mU9zJXisjXG-n6jrq0UaxX57Re8yNb7L0_CWBWMAkpoZzjF4SwY6ykJ-iKxa7wYfEewvfn2uS1kpjOAzMLcuzvCFWGOA/jaioUa4x6WhUxuNJMf0SYDucyZ1gYqCElyqQ3p6G1Q0),,,,Rainforest Action Network (RAN),,,,7/23/2020 5:31am,7/23/2020 5:03am,7/6/2024 1:17am,,,Deforestation,1,0,0,1,1,0,,,7/1/2017,2024,
