ID,Company Tracker,Tracker ID,Company Tracker ID,Suppliers,Tier 1 Suppliers,Indirect Suppliers,Responsible Company,Linked Grievances,Concessions (OLD),PIOConcessions,PIOConcessions-v2,Source,Relationship,Issues,Status,Stage,Grievance Updates,Reason/Outcome,Notes,Date Filed,Attachments,Mills,Mills (Unknown),Number of Updates,Company Logo,Source for Suppliers,Tracker Link,Group Logo(s),Source Org,Refinery,Tracker Suppliers,Updated (last 90 days),Last Modified Time for Suppliers Field,Created,Last Modified,Concession update Notes,Mill IDs,Issues Combined,Old Supplier Count,Tier 1 Supplier Count,Indirect Supplier Count,Responsible Company Count,New Supplier Count,New vs Old Supplier Check,Old Concession Lat,Old Concession Lon,Update Dates,Last Modified Year,New Issue Tags
AAK 1,AAK,1,,"ASG,AAA,Wilmar",,,,,,,,Enough is Enough,Indirect,Deforestation,Unresolved,Engaging,AAK 1 Meeting 2018-6,NDPE Non-Compliant,,6/1/2018,,,,1,AAK.png (https://v5.airtableusercontent.com/v3/u/47/47/1763726400000/u5mzMZc3CTa_ir0Hxub-Qw/Wx6q-6vc39lfbyrB-BBthuzwSi00Uqucvd6FiX489BBr8pUE7f3d2ZFsGDF04FhLUuQ2FMZKtsrusueLFgh1pVPzJ9STQVSHSIDDcNSgs6oMGbFOc6CyJwn3THGtCK-npBOe6FFK5ak0D7z40D_GTg/zygA2T-Rz8ktdvBBlFIXJGiuLj69gT-OG7zmg04i4Z0),"ASG-Wilmar,ASG-AAA,Wilmar-AAK,Austindo Nusantara Jaya (ANJ)-LDC",,"apical.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763726400000/Dqu2GDSo3kSJKgXdtfxP7A/QI1Vok2Aem6u5vxAxkpYib3OAy16vBnRAa8Vnw6iyHcSM9DZm3zA23f74uBJ99OYNPVjiJsfAS3i3E6S6-9pLrN48na4UXHZyb9DvWd08VbaS90EBTMefnC0IZT0Hn-ZtDO07vVjukdrGz_K53l1jQ/thhcw3rc4Qa-v8wzbwUas4ziF75Wc0sh2TAxIOyB5DU),680-6808184_wilmar-logo-logotype-logok-bugatti-logo-pagani-logo.png (https://v5.airtableusercontent.com/v3/u/47/47/1763726400000/AeeZrqkOVHIaSBbDkteapA/GLfLoS6ExBbgxPqmeOIGi2SA_JcOHa5ty-AM-CifNSDg2nWEj7fMyReAKoY3WmoL2ll8N4NVrPSWctHRXzioRTSL2onfxgK3NkM31uSFunGactExfXSRjoeMNq_oZHMQmXU9l1rlm4ayEP4WAquW7bdEeeqZ57lXpCyeaOYbaw55DCqpV72eP1X9lD0tyUQxmn0kgDHA87U1Lw-7fw9AEg/HZZHTTfztx5LWY-fJy1uIB76QzZefTyFvY4LkGuL3wM)",EoF,,,,4/24/2021 4:47am,7/23/2020 4:50am,4/5/2025 2:40am,,,Deforestation,3,0,0,0,0,-3,,,6/1/2018,2025,
AAK 2,AAK,2,,Anglo Eastern Plantations (AEP),,,Anglo Eastern Plantations (AEP),,Kahayan Agro Plantation,3856,3856,"Rapid Response 1,Rapid Response 15,Rapid Response 24,Rapid Response 25,Deforestation Case Studies",Indirect,"Deforestation,Land Dispute",Resolved,Moratorium,"AAK 2 Initial Engagement 2017-12,AAK 2 New Deforestation 2019-3,AAK 2 Publication/Policy Released 2019-12,AAK 2 New Deforestation 2020-1,AAK 2 Meeting 2025-1,AAK 2 Publication/Policy Released 2025-4,AAK 2 Status Change 2025-5",Reinstated,Tier 1 engaged. Moratorium in place,12/1/2017,,,,7,AAK.png (https://v5.airtableusercontent.com/v3/u/47/47/1763726400000/u5mzMZc3CTa_ir0Hxub-Qw/Wx6q-6vc39lfbyrB-BBthuzwSi00Uqucvd6FiX489BBr8pUE7f3d2ZFsGDF04FhLUuQ2FMZKtsrusueLFgh1pVPzJ9STQVSHSIDDcNSgs6oMGbFOc6CyJwn3THGtCK-npBOe6FFK5ak0D7z40D_GTg/zygA2T-Rz8ktdvBBlFIXJGiuLj69gT-OG7zmg04i4Z0),,,0-1.png (https://v5.airtableusercontent.com/v3/u/47/47/1763726400000/tZuNRHInco9Q_2OQ8TSTOA/CsDgAvexKbMPYuP0HtR9aqWCm34-34_zdwRkvgvC_auxspQ7s8LJm1HEpUPsGEbPzWKfg78icoc62U1xhHsDyW5_dcoZS_cAKzeNtM-PturmYEMeEg5AJMyoZcWVZR2w2PzLLHURUfTqQsy4yXgx-g/Y4Ou5v85jyluPjd5VatpBZ3nmG9GF-CRrNqu9xB6ixM),"Mighty Earth, Mighty Earth, Mighty Earth, Mighty Earth, Greenpeace",,,,7/23/2020 5:02am,7/23/2020 4:53am,11/21/2025 2:58am,,,"Deforestation, Land Dispute",1,0,0,1,1,0,-0.96100,113.50000,"12/1/2017, 3/1/2019, 12/1/2019, 1/1/2020, 1/3/2025, 4/1/2025, 5/1/2025",2025,
AAK 3,AAK,3,,BLD,,,BLD,,,13061,13061,Rapid Response 4,Indirect,Deforestation,Resolved,Suspended,AAK 3 Status Change 2018-5,NDPE Non-Compliant,"suspended

",5/1/2018,,,,1,AAK.png (https://v5.airtableusercontent.com/v3/u/47/47/1763726400000/u5mzMZc3CTa_ir0Hxub-Qw/Wx6q-6vc39lfbyrB-BBthuzwSi00Uqucvd6FiX489BBr8pUE7f3d2ZFsGDF04FhLUuQ2FMZKtsrusueLFgh1pVPzJ9STQVSHSIDDcNSgs6oMGbFOc6CyJwn3THGtCK-npBOe6FFK5ak0D7z40D_GTg/zygA2T-Rz8ktdvBBlFIXJGiuLj69gT-OG7zmg04i4Z0),BLD-AAK,,bldlogo.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1763726400000/aspJsmggV-bOMkjPmdGztw/9kMU3aPJ4XxsDuu2-Z05UHyhR9yu3y7fHwLLe2KWxRLUQMYkn1WYkPizmCmENq8nfmzlqB0CDgcNLd-7YazNgiL1bjYP3CYz5ruQVz4PZtgrOjjWJCFoMp97edvrJgZoKZi9SjQ6VBRDkcJF8CZqWg/n74Bo7mAJX1jT_7srui7JZBtagRdgJW0dpql7NV9_08),Mighty Earth,,,,7/23/2020 5:05am,7/23/2020 5:02am,11/21/2025 2:58am,,,Deforestation,1,0,0,1,1,0,,,5/1/2018,2025,
AAK 4,AAK,4,,Bukit Bintang Sawit (BBS),,,Bukit Bintang Sawit (BBS),,,,,Enough is Enough,Indirect,Deforestation,Unresolved,Engaging,AAK 4 Initial Engagement 2018-6,NDPE Non-Compliant,,6/1/2018,,,,1,AAK.png (https://v5.airtableusercontent.com/v3/u/47/47/1763726400000/u5mzMZc3CTa_ir0Hxub-Qw/Wx6q-6vc39lfbyrB-BBthuzwSi00Uqucvd6FiX489BBr8pUE7f3d2ZFsGDF04FhLUuQ2FMZKtsrusueLFgh1pVPzJ9STQVSHSIDDcNSgs6oMGbFOc6CyJwn3THGtCK-npBOe6FFK5ak0D7z40D_GTg/zygA2T-Rz8ktdvBBlFIXJGiuLj69gT-OG7zmg04i4Z0),,,,EoF,,,,7/23/2020 5:07am,7/23/2020 5:02am,7/6/2024 1:17am,,,Deforestation,1,0,0,1,1,0,,,6/1/2018,2024,
AAK 5,AAK,5,AAK 5,BDA,,,BDA,,,,,Leuser Watch,Indirect,Deforestation,Unresolved,Disputed w/o Evidence,"AAK 5 Initial Engagement 2019-10,AAK 5 Meeting 2020-10,AAK 5 Status Change 2025-2,AAK 5 Meeting 2025-5",Not In Supply Chain,,10/1/2019,,,,4,AAK.png (https://v5.airtableusercontent.com/v3/u/47/47/1763726400000/u5mzMZc3CTa_ir0Hxub-Qw/Wx6q-6vc39lfbyrB-BBthuzwSi00Uqucvd6FiX489BBr8pUE7f3d2ZFsGDF04FhLUuQ2FMZKtsrusueLFgh1pVPzJ9STQVSHSIDDcNSgs6oMGbFOc6CyJwn3THGtCK-npBOe6FFK5ak0D7z40D_GTg/zygA2T-Rz8ktdvBBlFIXJGiuLj69gT-OG7zmg04i4Z0),,,,RAN,,,,7/23/2020 5:12am,7/23/2020 5:02am,6/18/2025 12:51pm,,,Deforestation,1,0,0,1,1,0,,,"10/1/2019, 10/1/2020, 2/1/2025, 5/1/2025",2025,
AAK 6,AAK,6,,Bumitama,,,Bumitama,,,,,Final Countdown : Now or Never to Reform the Palm Oil Industry,Indirect,"Deforestation,Land Grabbing",Unresolved,Engaging,AAK 6 Initial Engagement 2018-10,NDPE Non-Compliant,,10/1/2018,,,,1,AAK.png (https://v5.airtableusercontent.com/v3/u/47/47/1763726400000/u5mzMZc3CTa_ir0Hxub-Qw/Wx6q-6vc39lfbyrB-BBthuzwSi00Uqucvd6FiX489BBr8pUE7f3d2ZFsGDF04FhLUuQ2FMZKtsrusueLFgh1pVPzJ9STQVSHSIDDcNSgs6oMGbFOc6CyJwn3THGtCK-npBOe6FFK5ak0D7z40D_GTg/zygA2T-Rz8ktdvBBlFIXJGiuLj69gT-OG7zmg04i4Z0),,,Bumitama.jpeg (https://v5.airtableusercontent.com/v3/u/47/47/1763726400000/SATloatyrLGewiXgWWbD0Q/Z8rwINdboY6uPo4qeL1-A41do0DCtzveU-lIq5MaZUnvge-P2Z0IZMUyUjOLjTbGeh3sFkvv-CFR6ngSGVwJV7E5jOEjXdrnXqXbxpmCap15aumMmBmeSrubFLF8ha2XOZTSP8BHcXXEfq6PIqK2XQ/WtT5csKkSHfcoXbANOJH9Xfr-sE6mZF7VMWpMgPkT3Y),Greenpeace ,,,,9/8/2020 4:20am,7/23/2020 5:03am,4/8/2025 12:39am,,,"Deforestation, Land Grabbing",1,0,0,1,1,0,,,10/1/2018,2025,
AAK 7,AAK,7,,IBRIS PALM,,,IBRIS PALM,,Delima Makmur,"6005,6171,7457","6005,6171,7457",RAN- Leuser Ecosystem Updates 2018,Indirect,Land Dispute,Unresolved,Engaging,AAK 7 Initial Engagement 2019-10,NDPE Non-Compliant,,10/1/2019,,PO1000004155,,1,AAK.png (https://v5.airtableusercontent.com/v3/u/47/47/1763726400000/u5mzMZc3CTa_ir0Hxub-Qw/Wx6q-6vc39lfbyrB-BBthuzwSi00Uqucvd6FiX489BBr8pUE7f3d2ZFsGDF04FhLUuQ2FMZKtsrusueLFgh1pVPzJ9STQVSHSIDDcNSgs6oMGbFOc6CyJwn3THGtCK-npBOe6FFK5ak0D7z40D_GTg/zygA2T-Rz8ktdvBBlFIXJGiuLj69gT-OG7zmg04i4Z0),,,,,,,,7/23/2020 5:26am,7/23/2020 5:03am,11/21/2025 2:58am,,PO1000004155,Land Dispute,1,0,0,1,1,0,2.19138,98.11075,10/1/2019,2025,
AAK 8,AAK,8,,HPI-AGRO (DJARUM),,,HPI-AGRO (DJARUM),,,,,Deforestation Case Studies,Indirect,Deforestation,Resolved,Moratorium,AAK 8 Initial Engagement 2017-12,NDPE Non-Compliant,Tier 1 engaged. Moratorium in place,12/1/2017,,,,1,AAK.png (https://v5.airtableusercontent.com/v3/u/47/47/1763726400000/u5mzMZc3CTa_ir0Hxub-Qw/Wx6q-6vc39lfbyrB-BBthuzwSi00Uqucvd6FiX489BBr8pUE7f3d2ZFsGDF04FhLUuQ2FMZKtsrusueLFgh1pVPzJ9STQVSHSIDDcNSgs6oMGbFOc6CyJwn3THGtCK-npBOe6FFK5ak0D7z40D_GTg/zygA2T-Rz8ktdvBBlFIXJGiuLj69gT-OG7zmg04i4Z0),,,HPI.png (https://v5.airtableusercontent.com/v3/u/47/47/1763726400000/khatFwLbrqPrLRHCE-jttg/PREM7SDI2me4K44XBhMQ0JoaCFwjb7xtZRhaOyZ5XMpTaOhkHt1rhsYTl_cylokccgLN6qlZAzr39Qv8mU5UfVjJDMbwSkQ3F2DLflcLmMlSIG2Bfi679nC5pzfNl_rC7W8SGzuhDsur1xHgUnFYNQ/CG330oYLroS1TRVb-nETbx96C_nFHf7NIcG_c3EUp2Q),Greenpeace,,,,7/23/2020 5:27am,7/23/2020 5:03am,7/6/2024 1:17am,,,Deforestation,1,0,0,1,1,0,,,12/1/2017,2024,
AAK 9,AAK,9,,Eagle High Plantations (EHPT),,,Eagle High Plantations (EHPT),,,,,Deforestation Case Studies,Indirect,Deforestation,Resolved,Moratorium,AAK 9 Initial Engagement 2017-12,NDPE Non-Compliant,Tier 1 engaged. Moratorium in place,12/1/2017,,,,1,AAK.png (https://v5.airtableusercontent.com/v3/u/47/47/1763726400000/u5mzMZc3CTa_ir0Hxub-Qw/Wx6q-6vc39lfbyrB-BBthuzwSi00Uqucvd6FiX489BBr8pUE7f3d2ZFsGDF04FhLUuQ2FMZKtsrusueLFgh1pVPzJ9STQVSHSIDDcNSgs6oMGbFOc6CyJwn3THGtCK-npBOe6FFK5ak0D7z40D_GTg/zygA2T-Rz8ktdvBBlFIXJGiuLj69gT-OG7zmg04i4Z0),,,ehpt.png (https://v5.airtableusercontent.com/v3/u/47/47/1763726400000/AruXkbcfofnoLtVd9Yxm-w/Uvfg2B_AvT4sH4lmIkqCSqSsKRLoyacAvXfAPRj0wu5MyAT5vbgxVR_YPnGLMyyVq4eeyVPsQQA2j2K5gIAjiPir_e3MVkRChsOXlaC8EPOysFXMbib_m53_GR9PNTNmuDEQdoJscNafV3f5bP50Ig/JgITCudWst7KTytc1o2j2FgMjeyGVcmweTd607zG_Co),Greenpeace,,,,7/23/2020 5:28am,7/23/2020 5:03am,7/6/2024 1:17am,,,Deforestation,1,0,0,1,1,0,,,12/1/2017,2024,
AAK 10,AAK,10,,ES,,,ES,,,,,Leuser Watch ,Indirect,Deforestation,Unresolved,Engaging,AAK 10 Initial Engagement 2017-7,NDPE Non-Compliant,,7/1/2017,,,,1,AAK.png (https://v5.airtableusercontent.com/v3/u/47/47/1763726400000/u5mzMZc3CTa_ir0Hxub-Qw/Wx6q-6vc39lfbyrB-BBthuzwSi00Uqucvd6FiX489BBr8pUE7f3d2ZFsGDF04FhLUuQ2FMZKtsrusueLFgh1pVPzJ9STQVSHSIDDcNSgs6oMGbFOc6CyJwn3THGtCK-npBOe6FFK5ak0D7z40D_GTg/zygA2T-Rz8ktdvBBlFIXJGiuLj69gT-OG7zmg04i4Z0),,,,Rainforest Action Network (RAN),,,,7/23/2020 5:31am,7/23/2020 5:03am,7/6/2024 1:17am,,,Deforestation,1,0,0,1,1,0,,,7/1/2017,2024,
